complaint,category,priority,department
Low water pressure in my street after rain.,Water Supply,Medium,water
Electric pole wire loose at main road from last month.,Electricity,Medium,electricity
Waste dumped openly near bridge after rain.,Sanitation,Medium,sanitation
Garbage is not collected in 2nd street since morning.,Sanitation,Medium,sanitation
Cows blocking road near temple for many days.,Animal Control,Medium,animals
Water overflow near pipeline behind the apartment since morning.,Water Supply,Medium,water
Kindly check and resolve the issue near market for 1 week.,General,Medium,general
Stagnant water causing mosquitoes near hospital from last month.,Health & Hygiene,High,health
Flickering street light behind the apartment from last night.,Street Lights,Medium,streetlights
Electrocution hazard at main road every morning. Very dangerous.,Emergency,High,emergency
Dirty water is coming in tap at main road for 3 days.,Water Supply,Medium,water
Stray animals near school at main road for many days.,Animal Control,Medium,animals
Drainage is blocked near temple from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Stray dogs causing trouble behind the apartment daily.,Animal Control,Medium,animals
Sewage overflow behind the apartment since morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Stray dogs causing trouble at main road daily.,Animal Control,Medium,animals
Dog barking and chasing vehicles near market since morning.,Animal Control,Medium,animals
Cows blocking road near railway gate for many days.,Animal Control,Medium,animals
There is a serious pothole near railway gate from last month.,Road & Infrastructure,Medium,roads
Dog barking and chasing vehicles behind the apartment since yesterday.,Animal Control,Medium,animals
Waste dumped openly in my street for many days.,Sanitation,Medium,sanitation
Garbage burning smell at main road since morning.,Sanitation,Medium,sanitation
Broken footpath behind the apartment from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Drain cover broken in our area daily.,Drainage & Sewage,Medium,drainage
There is a water pipeline leak near temple since yesterday.,Water Supply,Medium,water
Dead animal not removed near market since yesterday.,Sanitation,Medium,sanitation
Open manhole on the road near railway gate since yesterday. Accident risk is high.,Road & Infrastructure,High,roads
Fire incident reported in our area daily. Need immediate help.,Emergency,High,emergency
Road surface is damaged behind the apartment for 1 week. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Dead animal not removed near school for 3 days.,Sanitation,Medium,sanitation
Building collapse risk in our area for 1 week. Please check urgently.,Emergency,High,emergency
Manhole overflow near hospital daily.,Drainage & Sewage,High,drainage
Street lights are off near junction after rain. Unsafe at night.,Street Lights,Medium,streetlights
Sewage overflow in 2nd street for 1 week. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Garbage is not collected near hospital after rain.,Sanitation,High,sanitation
Drain water stagnation near hospital for many days.,Drainage & Sewage,High,drainage
Lamp post broken at main road since morning.,Street Lights,Medium,streetlights
Transformer sparking at main road since morning.,Electricity,High,electricity
Water supply is not coming near park for 3 days.,Water Supply,Medium,water
Electrocution hazard near railway gate for 3 days. Very dangerous.,Emergency,High,emergency
Water supply is not coming near hospital since morning.,Water Supply,High,water
Complaint about local problem near market for 3 days.,General,Medium,general
There is a urgent pothole behind the apartment from last night.,Road & Infrastructure,Medium,roads
Stray dogs causing trouble near temple for many days.,Animal Control,Medium,animals
Request immediate action near school after rain.,General,Medium,general
Broken footpath in our area from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Water supply is not coming near junction for many days.,Water Supply,Medium,water
Low water pressure near bridge since morning.,Water Supply,Medium,water
Sewage overflow near junction since morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Voltage fluctuation in our area for many days. Appliances are getting damaged.,Electricity,Medium,electricity
Stray animals near school near temple since morning.,Animal Control,Medium,animals
Power cut near junction every morning.,Electricity,Medium,electricity
Building collapse risk near bus stop since morning. Please check urgently.,Emergency,High,emergency
Fever cases increasing due to mosquitoes near junction for 3 days.,Health & Hygiene,Medium,health
Voltage fluctuation near park for 1 week. Appliances are getting damaged.,Electricity,Medium,electricity
Drain water stagnation near bridge for 3 days.,Drainage & Sewage,Medium,drainage
Drain cover broken near railway gate every morning.,Drainage & Sewage,Medium,drainage
Stagnant water causing mosquitoes in 2nd street since morning.,Health & Hygiene,Medium,health
Lamp post broken in our area since morning.,Street Lights,Medium,streetlights
Kindly check and resolve the issue near hospital from last month.,General,High,general
Flickering street light at main road since yesterday.,Street Lights,Medium,streetlights
Garbage burning smell near market for 3 days.,Sanitation,Medium,sanitation
Gas leak smell near hospital for 3 days. Please respond fast.,Emergency,High,emergency
Mosquito problem is very severe near bridge from last month. Dengue risk.,Health & Hygiene,Medium,health
Stray animals near school near market for many days.,Animal Control,Medium,animals
There is a water pipeline leak near railway gate daily.,Water Supply,Medium,water
Road surface is damaged near temple after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Drainage is blocked in our area from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Lamp post broken near bus stop daily.,Street Lights,Medium,streetlights
Dead animal not removed near bridge since yesterday.,Sanitation,Medium,sanitation
Stray animals near school near school for many days.,Animal Control,Medium,animals
Drain cover broken near market from last month.,Drainage & Sewage,Medium,drainage
Drainage is blocked near school from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Drainage is blocked behind the apartment daily. Water is overflowing.,Drainage & Sewage,Medium,drainage
Power cut near market for 3 days.,Electricity,Medium,electricity
There is a frequent pothole in our area since morning.,Road & Infrastructure,Medium,roads
Drain water stagnation near market every morning.,Drainage & Sewage,Medium,drainage
Request immediate action near park from last month.,General,Medium,general
Electric pole wire loose at main road for 3 days.,Electricity,Medium,electricity
Bad smell and hygiene issue near market for 1 week.,Health & Hygiene,Medium,health
Sewage overflow behind the apartment for 1 week. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Waste dumped openly near temple since morning.,Sanitation,Medium,sanitation
Water overflow near pipeline near temple from last night.,Water Supply,Medium,water
Open manhole on the road near junction from last night. Accident risk is high.,Road & Infrastructure,High,roads
Garbage is not collected near railway gate since morning.,Sanitation,Medium,sanitation
Aggressive stray dog bite risk in our area every morning.,Animal Control,High,animals
Dirty water is coming in tap in 2nd street for many days.,Water Supply,Medium,water
Fever cases increasing due to mosquitoes near market daily.,Health & Hygiene,Medium,health
Request immediate action near bridge for many days.,General,Medium,general
Fever cases increasing due to mosquitoes near junction daily.,Health & Hygiene,Medium,health
Waste dumped openly in 2nd street after rain.,Sanitation,Medium,sanitation
There is a water pipeline leak at main road since morning.,Water Supply,Medium,water
Garbage is not collected near junction since morning.,Sanitation,Medium,sanitation
Building collapse risk behind the apartment for 1 week. Please check urgently.,Emergency,High,emergency
